number;question;kategoria;zestaw;rating;answer;aiAnswer;law
20;"Proszę
omówić rodzaje i sposoby rozwiązania podłóg przemysłowych, wypowiedź
ilustrując szkicami";P;Z10;;"</h2>
<p>Posadzka betonowa – wysoka wytrzymałość na nacisk pojazdów
kołowych<br/>
Posadzka żywiczna – odporność na środki chemiczne, mogą być
elektrostatyczne. Najczęściej wykończona na podłożu betonowym<br/>
Posadzka cementowo-polimerowa - dzięki zastosowaniu spoiw z kurszywa
cementu i preparatu<br/>
polimerowego łączy zalety obu rozwiązań, dobre w budynkach w których
mamy do czynienia z wodą<br/>
Posadzka ceramiczna</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image34.png"" style=""width:2.28338in;height:1.10308in""/></p>
<ol type=""1"">
<li><p>Warstwa przerywająca podciąganie kapilarne – żwir płukany
8-16mm</p></li>
<li><p>Folia PE lub membrana kubełkowa</p></li>
<li><p>Beton podkładowy</p></li>
<li><p>Hydroizolacja (papa termozgrzewalna(</p></li>
<li><p>Termoizolacja (XPS)</p></li>
<li><p>Warstwa ochronna (chemoodporna membrana zgrzewana)</p></li>
<li><p>Beton nośny</p></li>
<li><p>Posadzka żywiczna</p></li>
</ol></th>";;
21;"Jakie
inwestycje wymagają wydania decyzji o lokalizacji celu publicznego w
przypadku braku miejscowego planu zagospodarowania
przestrzennego?";L;Z10;;"</h2>
<p>Ustawa o gospodarce nieruchomościami Art. 6<br/>
- wydzielenie gruntów pod drogi publiczne, rowerowe i wodne, budowa oraz
utrzymanie tych dróg<br/>
- wydzielenie gruntów oraz ich budowa i utrzymanie dla: linii
kolejowych, lotnisk, portów, przystani morskich, urządzeń służących do
zaopatrzenia ludzi w wodę, oczyszczania i odprowadzania ścieków,
urządzenia ochrony środowiska, morskiej farmy wiatrowej, pomieszczenia
dla urzędów organów władzy, administracji, sądów, prokuratur uczelni
publicznych, obiektów dla operatora pocztowego, urządzeń i obiektów na
rzecz obronności państwa,<br/>
-zakładanie i utrzymanie cmentarzy<br/>
- wydzielenie gruntów pod publiczne dostępne samorządowe: ciągi piesze,
place, parki, promenady lub bulwary a także ich urządzanie</p></th>";;
23;"Proszę
omówić zasady i warunki techniczne dotyczące projektowania placów zabaw
i terenów rekreacyjnych.";P;Z13;;"</h2>
<p>WT Rozdział 8 Zieleń i urządzenia rekreacyjne §39<br/>
-Na działkach budowlanych, przeznaczonych pod zabudowę wielorodzinną,
budynki opieki zdrowotnej ( z wyjątkiem przychodni) oraz oświaty i
wychowania co najmniej 25% powierzchni działki należy urządzić jako
powierzchnię biologicznie czynną, jeżeli inny % nie wynika z MPZP<br/>
-W zespole budynków wielorodzinnych objętych jednym pozwoleniem na
budowę należy stosownie do potrzeb użytkowych, przewidzieć place zabaw,
miejsca rekreacyjne dostępne dla NPS przy czym 30% powierzchni powinno
znajdować się na terenie biologicznie czynnym.<br/>
-Nasłonecznienie placu zabaw powinno wynosić 4 godziny w dniach
równonocy od 10-16.<br/>
- Odległość placów zabaw od okien i pomieszczeń na stały pobyt ludzi
powinna wynosić co najmniej 10 m</p></th>";;
24;"Proszę
omówić sposób wyznaczania szerokości elewacji frontowej na działce
objętej wnioskiem o ustalenie warunków zabudowy.";L;Z13;;"</h2>
<p>Rozporządzenie MI … w przypadku braku planu miejscowego
zagospodarowania §6<br/>
Szerokość elewacji frontowej, znajdującej się od strony frontu działki
wyznacza się dla nowej zabudowy na podstawie średniej szerokości
elewacji frontowych istniejącej zabudowy na działkach w obszarze
analizowanym z tolerancją 20%</p></th>";;
26;"Co to
jest i do czego służy tzn. linijka słońca?";I;Z14;2;"</h2>
<p><strong>Jak w zestawie 1.</strong></p></th>";;
27;"Proszę
naszkicować przykładowe rozwiązanie gromadzenia odpadów stałych w
wyodrębnionym pomieszczeniu w budynku, a następnie omówić problematykę
usytuowania miejsc do gromadzenia odpadów stałych.";P;Z14;;"</h2>
<p><strong>Jak w zestawie 5.</strong></p>
<p>ChatGpt:</p>
<p>Problematyka usytuowania miejsc do gromadzenia odpadów stałych</p>
<p>Lokalizacja:</p>
<p>Miejsca do gromadzenia odpadów powinny być zlokalizowane w łatwo
dostępnych miejscach, zarówno dla mieszkańców, jak i służb wywożących
odpady. Zbyt oddalone miejsca mogą prowadzić do zaniedbywania obowiązku
segregacji i utrudniać wywóz odpadów.</p>
<p>Wentylacja:</p>
<p>Ważnym elementem jest odpowiednia wentylacja pomieszczeń, aby uniknąć
nieprzyjemnych zapachów i zapewnić higieniczne warunki. Często stosuje
się wentylację mechaniczną, a w przypadku pomieszczeń na poziomie gruntu
również otwory wentylacyjne.</p>
<p>Higiena i bezpieczeństwo:</p>
<p>Pomieszczenie powinno być łatwe do utrzymania w czystości, z gładkimi
powierzchniami podłóg i ścian, które umożliwiają łatwe mycie. Ważne jest
także zaplanowanie odprowadzenia wody i zastosowanie materiałów
odpornych na działanie środków chemicznych.</p>
<p>Oznakowanie i segregacja:</p>
<p>Pomieszczenia do gromadzenia odpadów muszą być odpowiednio
oznakowane, aby ułatwić segregację. Kolorowe pojemniki, etykiety oraz
tablice informacyjne pomagają w prawidłowej segregacji odpadów i
zwiększają efektywność zarządzania odpadami</p></th>";;
28;"Proszę
omówić sposób wyznaczania wysokości górnej krawędzi elewacji frontowej
na działce objętej wnioskiem o ustalenie warunków
zabudowy";L;Z14;;"</h2>
<p>Rozporządzenie MI … w przypadku braku planu miejscowego
zagospodarowania §7<br/>
Wysokość górnej krawędzi elewacji frontowej, jej gzymsy, attyki wyznacza
się dla nowej zabudowy jako przedłużenie tych krawędzi odpowiednio do
istniejącej zabudowy na działkach sąsiednich.<br/>
- wysokość mierzy się od średniego poziomu przed głównym wejściem do
budynku<br/>
- jeżeli wysokość na działkach sąsiednich przebiega tworząc uskok to
przyjmuje się średnią wartość na analizowanym obszarze.<br/>
- dopuszcza się ustanowienie innej wysokości</p></th>";;
30;"Jakie
projekty budowlane wymagają uzgodnienie pod względem ochrony
przeciwpożarowej?";PŻ;Z15;;"</h2>
<p>Rozporządzenie MSWiA w sprawie uzgadniania projektu budowlanego §4
BRAK TEGO ROZPORZĄDZENIA W WYKAZIE</p>
<p>Uzgodnienia wymagają następujące projekty budowlane:</p>
<p>- budynku zawierającego strefę pożarową zakwalifikowaną do kategorii
zagrożenia ludzi ZL I, ZL II lub ZL V;</p>
<p>- budynku należącego do grupy wysokości: średniowysokie, wysokie lub
wysokościowe, zawierającego strefę pożarową zakwalifikowaną do kategorii
zagrożenia ludzi ZL III lub ZL IV;</p>
<p>- budynku niskiego zawierającego strefę pożarową o powierzchni
przekraczającej 1.000 m2, zakwalifikowaną do kategorii zagrożenia ludzi
ZL III, obejmującą kondygnację nadziemną inną niż pierwsza;</p>
<p>- obiektu budowlanego innego niż budynek, przeznaczonego do
użyteczności publicznej lub zamieszkania zbiorowego, w którym przewiduje
się możliwość jednoczesnego przebywania w strefie pożarowej ponad 50
osób na powierzchni do 2.000 m2;</p>
<p>- budynku zawierającego strefę pożarową produkcyjną lub magazynową,
wolno stojącego urządzenia technologicznego lub zbiornika poza budynkami
oraz placu składowego albo wiaty, jeżeli zachodzi co najmniej jeden z
następujących warunków:</p>
<p>strefa pożarowa produkcyjna lub magazynowa wymienionych obiektów
budowlanych ma powierzchnię przekraczającą 1.000 m2 oraz gęstość
obciążenia ogniowego przekraczającą 500 MJ/m2,</p>
<p>występuje zagrożenie wybuchem,</p>
<p>strefa pożarowa produkcyjna lub magazynowa wymienionych obiektów
budowlanych ma powierzchnię przekraczającą 5.000 m2 i gęstość obciążenia
ogniowego mniejszą niż 500 MJ/m2;</p>
<p>garażu wielopoziomowego oraz garażu zamkniętego o więcej niż 10
stanowiskach postojowych;</p>
<p>obiektu budowlanego objętego obowiązkiem wykonania systemu
sygnalizacji pożarowej, stałych urządzeń gaśniczych lub dźwiękowego
systemu ostrzegawczego;</p></th>";;
31;"Proszę
omówić i zilustrować szkicami sposoby rozwiązania stropów nad obiektami
wielkopowierzchniowymi (np. galerie)";P;Z15;;"<strong>WRÓCIĆ</strong></h2>
<blockquote>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image10.png"" style=""width:2.375in;height:2.52778in""/></p>
</blockquote>
<p>Stop oparty na kratownicy<br/>
Strop z strunobetonu</p>
<p>ŚWIETLIKI DOŚWIETLENIE</p>
<p>ChatGPT:</p>
<p>1. Konstrukcje stalowe</p>
<p>Dźwigary stalowe: Jednym z najczęstszych rozwiązań stosowanych w
obiektach wielkopowierzchniowych są konstrukcje stalowe. Stalowe
dźwigary kratownicowe lub pełnościenne pozwalają na osiągnięcie dużych
rozpiętości (nawet do 100 metrów), co minimalizuje liczbę podpór
wewnątrz obiektu. Stal zapewnia dużą wytrzymałość przy relatywnie
niskiej masie własnej.</p>
<p>Łukowe dźwigary stalowe: Alternatywą są dźwigary o łukowatym
kształcie, które mogą dodać walorów estetycznych, a jednocześnie
pozwalają na efektywne rozłożenie obciążeń na podpory zewnętrzne.</p>
<p>2. Konstrukcje z betonu sprężonego</p>
<p>Belki sprężone: W niektórych obiektach wielkopowierzchniowych stosuje
się belki z betonu sprężonego, które charakteryzują się wysoką nośnością
i odpornością na zginanie. Beton sprężony jest szczególnie korzystny w
przypadku dużych obciążeń lub konieczności zminimalizowania deformacji
konstrukcji.</p>
<p>Stropy płytowo-belkowe: W budynkach o mniejszych rozpiętościach, ale
nadal wymagających dużej wytrzymałości, często stosowane są stropy
płytowo-belkowe z betonu sprężonego, co pozwala na redukcję grubości
stropu przy jednoczesnym zachowaniu wysokiej nośności.</p>
<p>3. Konstrukcje hybrydowe</p>
<p>Połączenie stali i betonu: Często stosowane są konstrukcje hybrydowe,
które łączą zalety konstrukcji stalowych i betonowych. Na przykład
stalowe belki mogą być zintegrowane z płytą betonową, co pozwala na
wykorzystanie właściwości obu materiałów: wytrzymałości stali na
rozciąganie i wytrzymałości betonu na ściskanie.Dźwigary zespolone: W
tej technologii stalowe elementy dźwigarów są połączone z betonowymi
płytami dachowymi za pomocą specjalnych łączników, co poprawia nośność i
stabilność konstrukcji.</p>
<p>4. Konstrukcje drewniane</p>
<p>Drewniane dźwigary kratowe: W przypadku obiektów o mniejszych
wymaganiach co do obciążeń, stosowane są także konstrukcje drewniane,
zwłaszcza z wykorzystaniem drewna klejonego. Dźwigary kratowe z drewna
klejonego pozwalają na uzyskanie dużych rozpiętości przy zachowaniu
estetycznego wyglądu oraz ekologicznych walorów drewna.Łuki drewniane:
Drewno klejone warstwowo pozwala na formowanie łuków o dużych
rozpiętościach, co jest często stosowane w budynkach o nowoczesnej
architekturze.</p>
<p>5. Konstrukcje membranowe</p>
<p>Dachy membranowe: W nowoczesnych obiektach wielkopowierzchniowych
coraz częściej spotyka się konstrukcje dachów z membran elastycznych
(np. z materiałów PVC lub PTFE), rozpiętych na stalowych lub
aluminiowych konstrukcjach. Dachy membranowe są lekkie, elastyczne i
estetyczne, a także umożliwiają tworzenie skomplikowanych kształtów
architektonicznych.</p>
<p>6. Konstrukcje z wykorzystaniem lin i kabli</p>
<p>Konstrukcje kablobetonowe: Dachy o dużych rozpiętościach mogą być
podparte na konstrukcjach kablobetonowych, gdzie betonowe elementy są
dodatkowo wzmacniane stalowymi linami lub kablami. Tego typu konstrukcje
są szczególnie użyteczne w przypadku stadionów lub hal widowiskowych,
gdzie ważne jest uzyskanie dużych otwartych przestrzeni bez podpór.</p>
<p>Dachy wiszące: W skrajnych przypadkach, dachy mogą być zawieszane na
linach rozpiętych między wieżami lub pylonami. Tego typu konstrukcje są
niezwykle efektowne, ale wymagają precyzyjnego projektowania i
wykonania.</p></th>";;
32;"Jakie
czynności należy wykonać i jakie dokumenty (decyzje, zgody, opinie,
uzgodnienia itp.) należy uzyskać i zgromadzić aby można było sporządzić
projekt budowlany a następnie uzyskać decyzję o pozwoleniu na budowę
posterunku policji, na obszarze nieobjętym miejscowym planem
zagospodarowania przestrzennego?";L;Z15;;"</h2>
<p>Rozporządzenie MR w sprawie szczegółowego zakresu i formy projektu
budowlanego §5<br/>
Należy przygotować:<br/>
- projekt zagospodarowania terenu lub działki<br/>
- projekt architektoniczno-budowlany<br/>
- projekt techniczny<br/>
- załączniki do projektu budowlanego<br/>
- opinie uzgodnienia i inne dokumenty o których mowa w art. 33 ust. 2
pkt 1 tj.<br/>
- oświadczenie właściwego zarządcy drogi o możliwości połączenia z
drogą<br/>
- informację bezpieczeństwa i ochrony zdrowia<br/>
Ustawia PB Art. 33<br/>
do wniosku PnB należy dołączyć:<br/>
- projekt zagospodarowania działki oraz PAB<br/>
- oświadczenie o posiadanym prawie do dysponowania nieruchomością na
cele budowlane<br/>
- decyzję o warunkach zabudowy i zagospodarowania terenu<br/>
- oświadczenie projektanta dotyczące możliwości przyłączenia budynku do
sieci ciepłownicze</p>
<p>Sprawdzić czy objęty teren jest MPZP, jeżeli nie trzeba wystąpić o
WZ/ULICP<br/>
Pozyskanie mapy zasadniczej.<br/>
Badania geotechniczne<br/>
wystąpienie do gestorów sieci o promesy</p>
<p>Warunki zabudowy/ ULICP<br/>
wystąpienie do gestorów sieci<br/>
opinia sanepidu<br/>
uzgodnienia branżowe<br/>
MDCP<br/>
Promesa od gestorów<br/>
Warunki przyłączeniowe do PnB</p></th>";;
33;"Proszę
omówić i zilustrować sposoby rozwiązywania podłóg w
garażach";P;Z15;;"</h2>
<p>WT §107<br/>
- Posadzki w garażach powinny mieć spadki do wewnętrznego lub
zewnętrznego wpustu kanalizacyjnego. W zabudowie jednorodzinnej
dopuszcza się wykonanie spadków bezpośrednio na nieutwardzony teren
działki.<br/>
- Krawędzie płaszczyzny posadzki należy ograniczyć progiem o wysokości
30mm uniemożliwiającym spływ wody lub innej cieczy na zewnątrz/niższy
poziom. Na drodze ruchu ten próg powinien być wyprofilowany dla osób
NPS</p>
<p>Warstwy na gruncie: Warstwy na stropie:<br/>
- posadzka -posadzka<br/>
- płyta betonowa -podkład betonowy<br/>
-warstwa poślizgowa -warstwa ochronna<br/>
-izolacja termiczna - izolacja termiczna/akustyczna<br/>
-podbudowa - paroizolacja<br/>
-izolacja przeciwwilgociowa -podkład profilujący<br/>
-podłoże gruntowe -strop</p></th>";;
