number,numberP,question,kategoria,zestaw,rating,answer,aiAnswer,law
,,Obowiązki pracownika z tytułu BHP,zBHP,,,"<p>wykonywać pracę w sposób zgodny z przepisami i zasadami bezpieczeństwa i higieny pracy oraz stosować się do wydawanych w tym zakresie poleceń i wskazówek przełożonych,</p><p>dbać o należyty stan maszyn, urządzeń, narzędzi i sprzętu oraz o porządek i ład w miejscu pracy,  - stosować środki ochrony zbiorowej, a także używać przydzielonych środków ochrony indywidualnej oraz odzieży i obuwia roboczego, zgodnie z ich przeznaczeniem,</p><p>poddawać się wstępnym, okresowym i kontrolnym oraz innym zaleconym badaniom lekarskim i stosować się do wskazań lekarskich,</p><p>niezwłocznie zawiadomić przełożonego o zauważonym w zakładzie pracy wypadku albo zagrożeniu życia lub zdrowia ludzkiego oraz ostrzec współpracowników, a także inne osoby znajdujące się w rejonie zagrożenia, o grożącym im niebezpieczeństwie,</p><p>współdziałać z pracodawcą i przełożonymi w wypełnianiu obowiązków dotyczących bezpieczeństwa i higieny pracy.</p>",,
,,"Ogrodzenie, bramy, furtki",zBHP,,,"<p>WT</p><p>§ 41. Przepisy dotyczące ogrodzenia</p><p>Ogrodzenie nie może stwarzać zagrożenia dla bezpieczeństwa ludzi i zwierząt.</p><p>Umieszczanie na ogrodzeniach, na wysokości mniejszej niż 1,8 m, ostro zakończonych elementów, drutu kolczastego, tłuczonego szkła oraz innych podobnych wyrobów i materiałów jest zabronione. 3. Przepisy ust. 1 i 2 nie dotyczą ogrodzeń wewnętrznych w zakładach karnych i aresztach śledczych.</p><p>§ 42. Bramy i furtki</p><p>Bramy i furtki w ogrodzeniu nie mogą otwierać się na zewnątrz działki.</p><p>Furtki w ogrodzeniu przy budynkach mieszkalnych wielorodzinnych i budynkach użyteczności publicznej nie mogą utrudniać dostępu do nich osobom niepełnosprawnym poruszającym się na wózkach inwalidzkich.</p><p>§ 43. Wymiary bramy</p><p>Szerokość bramy powinna wynosić w świetle co najmniej 2,4 m, a w przypadku zastosowania furtki jej szerokość powinna być nie mniejsza niż 0,9 m, przy czym na drodze pożarowej szerokości te regulują przepisy odrębne dotyczące ochrony przeciwpożarowej.</p><p>Prawo Budowlane</p><p>Do zgłoszenia należy dołączyć szkic ogrodzenia, mapę z jego przebiegiem oraz oświadczenie o prawie dysponowania nieruchomością. Takiego zgłoszenia wymaga budowa ogrodzenia: - od strony dróg; - ulicy; -</p><p>placów; - torów kolejowych; - innych miejsc publicznych; - w wysokości powyżej 2,20 mBudowa BHP</p><p>Ogrodzenie powinno mieć wysokość minimum 1,5 m. Sposób wykonania ogrodzenia nie może stwarzać zagrożenia dla ludzi. odległość ogrodzenia od budynku musi wynosić nie mniej niż 1/10 wysokości, z której podczas prac mogą spaść materiały budowlane lub narzędzia. Wyjątkowo odległość ta może być mniejsza, jeżeli mamy do czynienia ze zwartą zabudową miejską, ale pod warunkiem zastosowania innych rozwiązań technicznych i organizacyjnych zabezpieczających przed spadaniem przedmiotów.</p>",,
,,Plan BIOZ,zBHP,,,"<p>Do obowiązków projektanta należy m.in. sporządzenie informacji dotyczącej bezpieczeństwa i ochrony zdrowia ze względu na specyfikę projektowanego obiektu budowlanego, która będzie uwzględniana w planie BIOZ. Do obowiązków kierownika budowy należy m.in. sporządzenie lub zapewnienie sporządzenia planu BIOZ uwzględniającego specyfikę obiektu budowlanego i warunki prowadzenia robót budowlanych oraz koordynowanie działań zapewniających przestrzeganie podczas wykonywania robót budowlanych zasad bezpieczeństwa i ochrony zdrowia.</p><p>Do obowiązków inspektora nadzoru inwestorskiego (jeżeli zostanie taki ustanowiony) należy m.in.</p><p>reprezentowanie inwestora na budowie przez sprawowanie kontroli zgodności jej realizacji z projektem i pozwoleniem na budowę oraz przepisami i zasadami wiedzy technicznej.</p><p>Plan BIOZ należy sporządzić w przypadku prowadzenia robót budowlanych trwających dłużej niż 30 dni roboczych i jednoczesnym zatrudnieniu co najmniej 20 pracowników lub pracochłonności planowanych robót przekraczającej 500 osobodni, a także w przypadku robót budowlanych, których charakter, organizacja lub miejsce prowadzenia stwarza szczególnie wysokie ryzyko powstania zagrożenia bezpieczeństwa i zdrowia ludzi, tj.</p><p>których charakter, organizacja lub miejsce prowadzenia stwarza szczególnie wysokie ryzyko powstania zagrożenia bezpieczeństwa i zdrowia ludzi, a w szczególności przysypania ziemią lub upadku z wysokości; - przy prowadzeniu których występują działania substancji chemicznych lub czynników biologicznych zagrażających bezpieczeństwu i zdrowiu ludzi;</p><p>stwarzających zagrożenie promieniowaniem jonizującym;</p><p>prowadzonych w pobliżu linii wysokiego napięcia lub czynnych linii komunikacyjnych;</p><p>stwarzających ryzyko utonięcia pracowników;</p><p>prowadzonych w studniach, pod ziemią i w tunelach;</p><p>wykonywanych przez kierujących pojazdami zasilanymi z linii napowietrznych;</p><p>wykonywanych w kesonach, z atmosferą wytwarzaną ze sprężonego powietrza;</p><p>wymagających użycia materiałów wybuchowych;</p><p>prowadzonych przy montażu i demontażu ciężkich elementów prefabrykowanych.</p>",,
,,Plan Bioz – część rysunkowa,zBHP,,,,,
,,"Podaj 3 przyczyny, kiedy nie można rozebrać rusztowania",zBHP,,,"<p>Przy wietrze powyżej 10 m/s,</p><p>W czasie gęstej mgły, opadów deszczu i śniegu</p><p>jeżeli o zmroku nie zapewniono dobrej widoczności</p><p>Gdy nie ma wyznaczonej strefy niebezpiecznej</p>",,
,,Prace na drabinach (odp. przy braku możliwości zastosowania rusztowań),zBHP,,,<p>gdy praca będzie krótkotrwała;</p><p>gdy nie będzie stwarzała dużego ryzyka upadku z wysokości;</p><p>gdy nie ma możliwości wykonania tej pracy przy użyciu innego urządzenia</p>,,
,,Prace na wysokości,zBHP,,,"<p>Pracą na wysokościjest praca wykonywana na powierzchni znajdującej się na wysokości co najmniej 1,0 m nad poziomem podłogi lub ziemi.</p><p>Do pracy na wysokości nie zalicza się pracy na powierzchni, niezależnie od wysokości, na jakiej się znajduje, jeżeli powierzchnia ta:</p><p>osłonięta jest ze wszystkich stron do wysokości co najmniej 1,5 m pełnymi ścianami lub ścianami z oknami oszklonymi,</p><p>wyposażona jest w inne stałe konstrukcje lub urządzenia chroniące pracownika przed upadkiem z wysokości.</p><p>Na powierzchniach wzniesionych na wysokość powyżej 1,0 m nad poziomem podłogi lub ziemi, na których w związku z wykonywaną pracą mogą przebywać pracownicy, lub służących jako przejścia, powinny być zainstalowane balustrady składające się z poręczy ochronnych umieszczonych na wysokości co najmniej 1,1 m i krawężników o wysokości co najmniej 0,15 m. Pomiędzy poręczą i krawężnikiem powinna być umieszczona w połowie wysokości poprzeczka lub przestrzeń ta powinna być wypełniona w sposób uniemożliwiający wypadnięcie osób.  Jeżeli ze względu na rodzaj i warunki wykonywania prac na wysokości zastosowanie tego typu balustrad jest niemożliwe, należy stosować inne skuteczne środki ochrony pracowników przed upadkiem z wysokości, odpowiednie do rodzaju i warunków wykonywania pracy.</p><p>Prace na wysokości powinny być organizowane i wykonywane w sposób nie zmuszający pracownika do wychylania się poza poręcz balustrady lub obrys urządzenia, na którym stoi.</p><p>Przy pracach na: drabinach, klamrach, rusztowaniach i innych podwyższeniach nie przeznaczonych na pobyt ludzi, na wysokości do 2 m nad poziomem podłogi lub ziemi nie wymagających od pracownika wychylania się poza obrys urządzenia, na którym stoi, albo przyjmowania innej wymuszonej pozycji ciała grożącej upadkiem z wysokości, należy zapewnić, aby:</p><p>drabiny, klamry, rusztowania, pomosty i inne urządzenia były stabilne i zabezpieczone przed nie przewidywaną zmianą położenia oraz posiadały odpowiednią wytrzymałość na przewidywane obciążenie,  2) pomost roboczy spełniał następujące wymagania:</p><p>powierzchnia pomostu powinna być wystarczająca dla pracowników, narzędzi i niezbędnych materiałów,</p><p>podłoga powinna być pozioma i równa, trwale umocowana do elementów konstrukcyjnych pomostu,</p><p>w widocznym miejscu pomostu powinny być umieszczone czytelne informacje o wielkości dopuszczalnego obciążenia.</p><p>Przy pracach wykonywanych na rusztowaniach na wysokości powyżej 2 m od otaczającego poziomu podłogi lub terenu zewnętrznego oraz na podestach ruchomych wiszących należy w szczególności:</p><p>zapewnić bezpieczeństwo przy komunikacji pionowej i dojścia do stanowiska pracy,</p><p>zapewnić stabilność rusztowań i odpowiednią ich wytrzymałość na przewidywane obciążenia,</p><p>przed rozpoczęciem użytkowania rusztowania należy dokonać odbioru technicznego w trybie określonym w odrębnych przepisach.</p><p>Rusztowania i podesty ruchome wiszące powinny spełniać wymagania określone odpowiednio w odrębnych przepisach oraz w Polskich Normach.</p><p>Przy pracach na: słupach, masztach, konstrukcjach wieżowych, kominach, konstrukcjach budowlanych bez stropów, a także przy ustawianiu lub rozbiórce rusztowań oraz przy pracach na drabinach i klamrach na wysokości powyżej 2 m nad poziomem terenu zewnętrznego lub podłogi należy w szczególności:  1) przed rozpoczęciem prac sprawdzić stan techniczny konstrukcji lub urządzeń, na których mają być wykonywane prace, w tym ich stabilność, wytrzymałość na przewidywane obciążenie oraz zabezpieczenie przed nie przewidywaną zmianą położenia, a także stan techniczny stałych elementów konstrukcji lub urządzeń mających służyć do mocowania linek bezpieczeństwa,</p><p>zapewnić stosowanie przez pracowników, odpowiedniego do rodzaju wykonywanych prac, sprzętu chroniącego przed upadkiem z wysokości jak: szelki bezpieczeństwa z linką bezpieczeństwa przymocowaną do stałych elementów konstrukcji, szelki bezpieczeństwa z pasem biodrowym (do prac w podparciu - na słupach, masztach itp.),</p><p>zapewnić stosowanie przez pracowników hełmów ochronnych przeznaczonych do prac na wysokości.  Wymagania określone powyżej dotyczą również prac wykonywanych na galeriach, pomostach, podestach i innych podwyższeniach, jeżeli rodzaj pracy wymaga od pracownika wychylenia się poza balustradę lub obrys urządzenia, na którym stoi, albo przyjmowania innej wymuszonej pozycji ciała grożącej upadkiem z wysokości. 2. Otuliny betonu ZESTAW VIII, pytanie 5</p>",,
,,Prace przy wysokim poziomie wód gruntowych,zBHP,,,"<p>Można wykonać czasowe obniżenie poziomu wód gruntowychza pomocą igłofiltrów, studni depresyjnych jedno lub wielostopniowych oraz drenów . Obniżenie poziomu wód gruntowych powinno się wykonywać dokładnie zgodnie z projektem, ponieważ liczyć się można ze zmniejszeniem wytrzymałości gruntu wskutek wymycia jego cząstek. Projekt powinien zawierać: liczbę studni lub igłofiltrów oraz ich rozmieszczenie, wymiary i wydajność, prędkość odpompowywania, rzędną żądanego poziomu wód, wzniesienia spodu studni ponad warstwę nieprzepuszczalną itp.</p><p>Na stałe zapewnienie stałego poziomu wody gruntowej możemy osiągnąć przy pomocy drenażu opaskowego. Musimy pamiętać o pozwoleniu wodnoprawnym. Do drenowania działek i obiektów uzywamy rur drenarskich. Pierścień układa się z rur o jednakowej średnicy, w linii prostej, ze spadkiem wg projektu, bez uskoków, sfałdowań. Układać je należy poniżej strefy przemarzania (1,10 – 1,20 m).  Studzienki w narożnikach, studzienka rewizyjna po przekątnej do studzienki zbiorczej. Przyłączenie drenażu do kanalizacji ogólnospławnej czy deszczowej wymaga zabezpieczenia przed dostaniem się mułu do kanalizacji oraz ścieków do gruntu.</p>",,
,,"Prace, których nie mogą wykonywać kobiety w ciąży",zBHP,,,"<p>Art.176 Kodeks Pracy</p><p>Kobietom w ciąży nie wolno wykonywać prac:</p><p>Związanych z wysiłkiem fizycznym i transportem ciężarów</p><p>w pozycji stojącej, która trwa łącznie ponad 3 godziny w czasie zmiany roboczej,</p><p>-W mikroklimacie zimnym, gorącym i zmiennym,</p><p>-W hałasie i drganiach,</p><p>-W warunkach narażenia na działanie pół elektromagnetycznych, promieniowania jonizującego i nadfioletowego oraz prac przy monitorach ekranowych:</p><p>-praca przy monitorze ekranowym nie może przekraczać 4 godzin dziennie,</p><p>-Pod ziemią, poniżej poziomu gruntu i na wysokości,</p><p>-W podwyższonym lub obniżonym ciśnieniu,</p><p>-W kontakcie ze szkodliwymi czynnikami biologicznymi, stwarzającymi zagrożenie zarażenia m.in.: wirusem HIV, zapaleniem wątroby typu B, wirusem ospy wietrznej i półpaśca, wirusem różyczki -W narażeniu na działanie szkodliwych substancji chemicznych:</p><p>-prace w narażeniu na działanie czynników rakotwórczych i o prawdopodobnym działaniu rakotwórczym,</p><p>-W warunkach grożących ciężkimi urazami fizycznymi i psychicznymi, m. in.:</p><p>-gaszenie pożarów,</p><p>-akcje ratownictwa chemicznego,</p><p>-prace z materiałami wybuchowymi,</p><p>- prace przy uboju zwierząt hodowlanych i obsłudze rozpłodników.</p>",,
,,"Praca w zbiornikach, co trzeba zrobić przed przystąpieniem i jak je prowadzić",zBHP,,,"<p>Pod pojęciem pracy w zbiorniku należy rozumieć także prace w kanałach, studniach , studzienkach kanalizacyjnych i zamknętych przestrzeniach , do których wejście odbywa się przez włązy lub otwory o niewielkich rozmiarach lub jest w inny sposób utrudnione.</p><p>Prace w zbiornikach, jako prace szczególnie niebezpieczne, mogą być prowadzone wyłącznie na podstawie pisemnego zezwolenia wydanego w trybie przyjętym w danym zakładzie pracy, z zapewnieniem stałego nadzoru.( asekuracja)</p><p>Przed przystąpieniem należy :</p><p>zbiorniki opróżnić i oczyścić przez przemycie, przedmuchanie powietrzem, parą lub gazem obojętnym (nie wolno przedmuchiwać tlenem); przy zagrożeniach pożarowych należy stosować niezbędne środki ochrony przeciwpożarowej,
- odłączyć dopływ do zbiornika materiałów, substancji i czynników z innych zbiorników lub instalacji; wszystkie urządzenia znajdujące się w zbiorniku, mogące stanowić zagrożenie, należy odłączyć od zasilania,
- zbadać wewnątrz zbiornika powietrze na zawartość tlenu oraz gazów i par substancji sklasyfikowanych jako niebezpieczne; wyrównać (jeżeli to możliwe) temperaturę wewnątrz zbiornika z temperaturą otoczenia; zapewnić niezbędne środki ochrony zbiorowej i indywidualnej dla pracowników,
- osoba kierująca pracownikami powinna poinformować (przeszkolić) pracowników o: zakresie prac, jakie mają wykonać, rodzaju zagrożeń, jakie mogą wystąpić, niezbędnych środkach ochrony zbiorowej i indywidualnej, sposobach sygnalizacji i asekuracji pomiędzy pracującymi w zbiorniku a asekurującymi ich z zewnątrz, postępowaniu w razie wystąpienia zagrożenia,
- wykonujący pracę wewnątrz zbiornika winni być asekurowani co najmniej przez jedną osobę znajdującą się na zewnątrz, osoba ta powinna być w stałym kontakcie z pracującymi wewnątrz zbiornika oraz powinna mieć możliwość natychmiastowego powiadomienia innych, w razie potrzeby udzielenia pomocy,
- osoby pracujące wewnątrz i asekurujące powinny być wyposażone w takie same środki ochrony indywidualnej: szelki bezpieczeństwa z linką umocowaną do odpowiednio wytrzymałego elementu na zewnątrz, hełm ochronny i odzież ochronną, sprzęt ochronny izolujący układ oddechowy (przy zawartości tlenu w powietrzu poniżej 18% lub gdy występują — lub mogą wystąpić — w powietrzu substancje szkodliwe dla zdrowia pracowników w stężeniu przekraczającym  najwyższe dopuszczalne stężenia),
- w czasie przebywania pracowników w zbiorniku wszystkie włazy powinny być otwarte, jeżeli jest to niewystarczające — stosować stały nadmuch powietrza; wnętrze zbiornika powinno być oświetlone źródłem światła elektrycznego o bezpiecznym napięciu; jeżeli istnieje możliwość powstania stężeń wybuchowych (w granicach dolnej i gór-nej granicy wybuchowości) — stosować środki zapobiegające wybuchowi; transport narzędzi i innych przedmiotów nie powinien stwarzać zagrożeń i uciążliwości dla pracowników znajdujących się wewnątrz zbiornika; przy wykonywaniu pracy w zbiorniku zawierającym materiały płynne lub sypkie (możliwość utonięcia lub zasypania), niezależnie od zabezpieczenia pracowników środkami ochrony indywidualnej — stosować opuszczanie, np. na pomostach umożliwiających wykonywanie pracy w sposób bezpieczny.</p>",,
,,ręczne prace transportowe na budowie,zBHP,,,"<p>-Masa przedmiotów podnoszonych i przenoszonych przez jednego pracownika nie może</p><p>przekraczać: 30 kg - przy pracy stałej (12 kg dla kobiet), 50 kg - przy pracy dorywczej (20 kg dla kobiet) .</p><p>Niedopuszczalne jest ręczne przenoszenie przedmiotów o masie przekraczającej 30 kg na wysokość powyżej 4 m lub na odległość przekraczająca 25 m.</p><p>- Masa ręcznie przetaczanych przedmiotów po terenie poziomym nie może przekraczać 300 kg na jednego pracownika, na pochylnie nie może przekraczać 50 kg.</p><p>- Masa materiałów szkodliwych i niebezpiecznych: max 25kg. Balony szklane z kwasami i innymi cieczami żrącymi  powinny być przewożone na specjalnych wózkach.</p><p>- Przenoszenie przedmiotów, których długość przekracza 4 m i masa 30 kg, powinno odbywać się zespołowo, pod warunkiem aby na jednego pracownika przypadała masa nie przekraczająca:</p><p>25 kg - przy pracy stałej,42 kg - przy pracy dorywczej. Niedopuszczalne jest zespołowe</p><p>przenoszenie przedmiotów na odległość przekraczająca 25 m lub o masie przekraczającej 500 kg.</p><p>- Dopuszczalna masa ładunku przemieszczanego na wózku:</p><p>* 2 kołowym - pochylnia-250kg, 2 kołowy - płasko (pochylenie do 5%) 350kg;</p><p>* 3-4 kołowym - pochylnia - 350 kg, płasko 450kg</p><p>Niedopuszczalne jest ręczne przemieszczanie ładunków na wózkach po pochyleniach powierzchni</p><p>większych niż 8% oraz na odległość większą niż 200 m.</p>",,
,,Roboty rozbiórkowe ogólnie - na wysokości,zBHP,,,"<p>Wszelkie roboty rozbiórkowe, demontaże, wyburzenia należy prowadzić pod nadzorem osób uprawnionych zachowując szczególną ostrożność ze względu na stan techniczny rozbieranych obiektów.</p><p>Teren prowadzonych robót rozbiórkowych należy wygrodzić i oznakować tablicami ostrzegawczymi oraz:</p><p>Roboty rozbiórkowe można rozpocząć po odłączeniu od obiektu sieci wodociągowej, cieplnej, elektrycznej, kanalizacyjnej i innych.</p><p>Rozbiórkę należy prowadzić w następującej kolejności: demontaż urządzeń i armatury, demontaż przewodów instalacyjnych, rozbiórka okien i drzwi, rozbiórka ścianek działowych wykonanych z dybli lub elementów drobnowymiarowych, demontaż nadbudówek, masztów, wentylatorów, rozbiórka pokrycia dachu obróbek blacharskich, rynien, rur spustowych, demontaż ocieplenia, rozbiórka stropu, rozbiórka ścian wewnętrznych i zewnętrznych, rozbiórka elementów betonowych i żelbetowych wewnętrznych. Nie można prowadzić rozbiórki elementów konstrukcyjnych jednocześnie na kilku poziomach.</p><p>Robotnicy wykonujący roboty rozbiórkowe na wysokości powyżej 4 m powinni być zabezpieczeni pasami,przy czym łańcuchy lub liny od pasów muszą być przymocowane do części trwałych budowli, nie rozbieranych wtym momencie.</p><p>Roboty należy prowadzić tak, aby nie została naruszona stateczność rozbieranego elementu, oraz tak, aby usuwanie jednego elementu konstrukcyjnego nie wywołało nieprzewidzianego upadku lub przewrócenia się innego fragmentu konstrukcji.</p><p>Podczas wiatru o szybkości większej niż 10m/s roboty należy wstrzymać.</p><p>W czasie rozbiórki przebywanie ludzi na niższych kondygnacjach jest wzbronione.</p><p>Nie wolno gromadzić gruzów na stropach, klatkach schodowych, daszkach, gruz należy usuwać stosując zsuwnice pochyłe lub rynny zsypowe.</p><p>Nie wolno obalać ścian lub innych części rozbieranego obiektu przez podkopywanie lub podcinanie.</p><p>Przy rozbiórce sposobem obalania długość stosowanych lin powinna być trzy razy większa od wysokości obiektu.</p><p>Przy obalaniu sposobem mechanicznym zatrudnionych pracowników i maszyny należy usunąć poza strefę niebezpieczną.</p><p>Prowadzenie robót rozbiórkowych o zmroku, przy sztucznym świetle lub przy złej widoczności jest zabronione.</p><p>Terminowo dokonywać przeglądu i kontroli urządzeń linowych i pomocniczych.</p><p>Przed dopuszczeniem pracownika do pracy należy zaopatrzyć go w odzież roboczą i ochronną.</p><p>Wszyscy pracownicy zagrożeni wypadkiem powinni być zaopatrzeni w atestowany sprzęt ochrony osobistej (pasy bezpieczeństwa, hełmy ochronne).</p><p>Dla budynków o wysokości powyżej 8,0m wyznaczyć strefę ochronną o szerokości 20,0m; dla obiektów owysokości poniżej 8,0m strefę ochroną o szerokości 10,0m. (w RM strefa ochronna min. 6m i 1/10 wys.</p><p>Budynku)</p><p>Nie dopuszcza się przebywania pod wysięgiem i demontowanym elementem w trakcie podnoszenia i podawania.</p><p>Nie dopuszczać do przebywania w strefach ochronnych osób nie związanych bezpośrednio z rozbiórką.</p><p>Stosować ochrony zabezpieczające przed upadkiem – bariery, odbojnice.</p><p>Składowanie materiałów budowlanych i urządzeń powinno być wykonane w sposób zabezpieczający przed możliwością wywrócenia, zsunięcia lub rozsunięcia się składowanych materiałów i elementów.</p><p>Opieranie składowanych materiałów o płoty, budynki, słupy linii napowietrznych jest zabronione.</p><p>Przy składowaniu materiałów odległość stosów powinna być nie mniejsza niż 0,75m od ogrodzeń i zabudowań i 5,0m od stanowisk pracy.</p><p>Między stosami pryzmami lub pojedynczymi elementami należy pozostawić przejście o szerokości co najmniej 1m oraz przejazdy o szer. środka transportu powiększone o 2m. Materiału powinny być składowane w miejscu wyrównanym do poziomu.</p><p>Materiały drobnicowe powinny być ułożone w stosy o wysokości niewiększej niż 2m, dostosowane do rodzaju i wytrzymałości tych materiałów.</p><p>Zabronione jest urządzanie stanowisk pracy, składowisk materiałów i elementów lub maszyn i urządzeń bezpośrednio pod liniami napowietrznymi lub w odległości bliższej (licząc do poziomu) od skrajnych przewodów niż:</p><p>2m dla linii NN</p><p>5m dla linii WN do 15kV</p><p>10m dla linii WN do 30kV</p><p>30m dla linii WN powyżej 30kV</p><p>W razie stosowania urządzeń załadowczo-wyładowczych zachowanie powyższych odległości odnosi się do najdalej wysuniętego punktu ruchomego lub stałego elementu tych urządzeń oraz ładunku transportowanego tymi urządzeniami.</p><p>Na budowie zorganizować punkt pierwszej pomocy medycznej wyposażony w apteczkę z niezbędnymi medykamentami.</p><p>Na terenie powinna być wywieszona na widocznym miejscu tablica z następującymi adresami i telefonami: najbliższego punktu medycznego, najbliższej straży pożarnej, policji, pogotowia ratunkowego.</p><p>Prace rozbiórkowe rozpocząć od odcięcia:</p><p>Przyłączy energetycznych oraz doprowadzenia ścieków do poszczególnych obiektów inżynierskich.</p><p>Przyłączy energetycznych, wody do budynków.</p><p>Na działce należy wygospodarować plac o wymiarach 10x20m, przeznaczony na parkowanie sprzętu i maszyn budowlanych.</p><p>Gruz i inne materiały uzyskane w wyniku prowadzonych prac rozbiórkowych składować odpowiednio posegregowane wzdłuż obiektów, a następnie wywozić w miejsca przerobu lub składowania. Poszczególne elementy złomu stalowego ciąć na mniejsze elementy dostosowane do możliwości transportowych wykonawcy. Złom stalowy gromadzić tymczasowo w wyznaczonym miejscu, a następnie wywozić do punktu skupu surowców wtórnych.</p><p>Teren rozbiórki poszczególnych obiektów zabezpieczyć przed dostępem osób niepowołanych.</p><p>Z uwagi na różnorodność występujących konstrukcji obiektów przewiduje się różne sposoby rozbiórki:</p><p>obiekty kubaturowe metodami tradycyjnym przy użyciu: narzędzi ręcznych, pneumatycznych lub hydraulicznych oraz, elektronarzędzi - do wyburzeń (narzędzia udarowe, udarowo-obrotowe itp.) oraz żurawi samojezdnych do demontażu elementów prefabrykowanych itp.</p><p>fundamenty obiektów kubaturowych oraz obiekty inżynierskie metodami tradycyjnymi przy użyciu: narzędzi ręcznych, pneumatycznych lub hydraulicznych oraz elektronarzędzi (narzędzia udarowe, udarowo-obrotowe, przecinarki z tarczami diamentowymi do cięcia betonu), a także młotów hydraulicznych montowanych do koparek - do wyburzeń.</p><p>Rozbiórkę istniejących rurociągów należy realizować zgodnie z wytycznymi Użytkownika. Prace rozbiórkowe należy prowadzić pod ścisłym nadzorem przedstawiciela Użytkownika oczyszczalni.</p>",,
,,Roboty spawalnicze,zBHP,,,"<p>Jeżeli stałe stanowiska spawalnicze są zlokalizowane na otwartej przestrzeni, to powinny być zabezpieczoneprzed działaniem czynników atmosferycznych. Stałe stanowisko spawacza powinno być wyposażone wmiejscową wentylację wyciągową. Stanowisko spawacza powinno być wydzielone w sposób zabezpieczającyinne osoby przed szkodliwym działaniem światła na wzrok.</p><p>W czasie spawania gazowego należy używać wyłącznie butli posiadających ważną cechę organu dozoru technicznego. W czasie korzystania z gazu z butli powinny być one ustawione w pozycji pionowej lub pod kątemnie mniejszym niż 45° od poziomu. Odległość płomienia palnika od butli nie powinna być mniejsza niż 1 m.Przewody do tlenu i acetylenu powinny się wyróżniać wymaganą kolorystyką, a ich długość powinna wynosić conajmniej 5 m. Nie stosuje się przewodów używanych uprzednio do innych gazów. Zamocowanie przewodów na nasadkach reduktorów, bezpieczników wodnych, palników i łączników wykonuje się wyłącznie za pomocą płaskich zacisków. Miejsca uszkodzone w przewodach powinny być wycięte. Łączenia przewodów należy wykonać za pomocą specjalnych łączników metalowych o przekroju wewnętrznym odpowiadającym prześwitowi łączonego przewodu. Zabronione jest stosowanie do tlenu i acetylenu przewodów igielitowych, z tworzyw sztucznych lub o podobnych właściwościach.</p><p>W przypadku zamarznięcia zaworu butli gazowej, wytwornicy lub bezpiecznika wodnego, zabronione jest odmrażanie za pomocą płomienia. Odmrażanie powinno być dokonywane za pomocą gorącej wody lub pary wodnej.</p><p>Spawacz, przed rozpoczęciem spawania elektrycznego, jest zobowiązany sprawdzić prawidłowość połączeń przewodów i przyłączenia końcówki przewodu roboczego do uchwytu. Do zasilania uchwytu elektrody i do masy należy stosować wyłącznie przewody oponowe – spawalnicze o właściwie dobranym przekroju. Każdy spawany przedmiot powinien być uziemiony.</p><p>W czasie opadów atmosferycznych spawanie lub cięcie metali jest dozwolone wyłącznie po osłonięciustanowiska pracy. Spawanie zbiorników lub naczyń, w których były przechowywane ciecze lub gazy łatwo zapalne bądź trujące jest dozwolone wyłącznie po uprzednim ich oczyszczeniu z resztek gazów, cieczy i ich par oraz po starannym wymyciu lub napełnieniu wodą albo gazem obojętnym.</p><p>Roboty spawalnicze w zbiornikach lub kotłach mogą być wykonywane wyłącznie przy asekuracji osóbznajdujących się na zewnątrz, z zachowaniem wzajemnej łączności oraz z możliwością udzielenianatychmiastowej pomocy. Osoby znajdujące się wewnątrz zbiornika powinny być wyposażone w szelki bezpieczeństwa, do których należy przymocować linkę bezpieczeństwa trzymaną przez osobę ubezpieczającą znajdującą się na zewnątrz zbiornika. Do zbiornika powinien być zapewniony dopływ świeżego powietrza orazoświetlenie elektryczne o bezpiecznym napięciu.</p>",,
,,Rodzaje prac z obciążeniem psychofizycznym,zBHP,,,"<p>Operatorzy ciężkiego sprzętu, żurawi, Prace przy obsłudze urządzeń mechanicznych, związanych z czynnościami wyburzeniowymi.</p>",,
