number;question;kategoria;zestaw;rating;answer
21;"Jakie
inwestycje wymagają wydania decyzji o lokalizacji celu publicznego w
przypadku braku miejscowego planu zagospodarowania
przestrzennego?";L;Z10;;"Ustawa o gospodarce nieruchomościami Art. 6
- wydzielenie gruntów pod drogi publiczne, rowerowe i wodne, budowa oraz
utrzymanie tych dróg
- wydzielenie gruntów oraz ich budowa i utrzymanie dla: linii
kolejowych, lotnisk, portów, przystani morskich, urządzeń służących do
zaopatrzenia ludzi w wodę, oczyszczania i odprowadzania ścieków,
urządzenia ochrony środowiska, morskiej farmy wiatrowej, pomieszczenia
dla urzędów organów władzy, administracji, sądów, prokuratur uczelni
publicznych, obiektów dla operatora pocztowego, urządzeń i obiektów na
rzecz obronności państwa,
-zakładanie i utrzymanie cmentarzy
- wydzielenie gruntów pod publiczne dostępne samorządowe: ciągi piesze,
place, parki, promenady lub bulwary a także ich urządzanie"
23;"Proszę
omówić zasady i warunki techniczne dotyczące projektowania placów zabaw
i terenów rekreacyjnych.";P;Z13;;"WT Rozdział 8 Zieleń i urządzenia rekreacyjne §39
-Na działkach budowlanych, przeznaczonych pod zabudowę wielorodzinną,
budynki opieki zdrowotnej ( z wyjątkiem przychodni) oraz oświaty i
wychowania co najmniej 25% powierzchni działki należy urządzić jako
powierzchnię biologicznie czynną, jeżeli inny % nie wynika z MPZP
-W zespole budynków wielorodzinnych objętych jednym pozwoleniem na
budowę należy stosownie do potrzeb użytkowych, przewidzieć place zabaw,
miejsca rekreacyjne dostępne dla NPS przy czym 30% powierzchni powinno
znajdować się na terenie biologicznie czynnym.
-Nasłonecznienie placu zabaw powinno wynosić 4 godziny w dniach
równonocy od 10-16.
- Odległość placów zabaw od okien i pomieszczeń na stały pobyt ludzi
powinna wynosić co najmniej 10 m"
24;"Proszę
omówić sposób wyznaczania szerokości elewacji frontowej na działce
objętej wnioskiem o ustalenie warunków zabudowy.";L;Z13;;"Rozporządzenie MI … w przypadku braku planu miejscowego
zagospodarowania §6
Szerokość elewacji frontowej, znajdującej się od strony frontu działki
wyznacza się dla nowej zabudowy na podstawie średniej szerokości
elewacji frontowych istniejącej zabudowy na działkach w obszarze
analizowanym z tolerancją 20%"
26;"Co to
jest i do czego służy tzn. linijka słońca?";I;Z14;2;Jak w zestawie 1.
27;"Proszę
naszkicować przykładowe rozwiązanie gromadzenia odpadów stałych w
wyodrębnionym pomieszczeniu w budynku, a następnie omówić problematykę
usytuowania miejsc do gromadzenia odpadów stałych.";P;Z14;;"Jak w zestawie 5.
ChatGpt:
Problematyka usytuowania miejsc do gromadzenia odpadów stałych
Lokalizacja:
Miejsca do gromadzenia odpadów powinny być zlokalizowane w łatwo
dostępnych miejscach, zarówno dla mieszkańców, jak i służb wywożących
odpady. Zbyt oddalone miejsca mogą prowadzić do zaniedbywania obowiązku
segregacji i utrudniać wywóz odpadów.
Wentylacja:
Ważnym elementem jest odpowiednia wentylacja pomieszczeń, aby uniknąć
nieprzyjemnych zapachów i zapewnić higieniczne warunki. Często stosuje
się wentylację mechaniczną, a w przypadku pomieszczeń na poziomie gruntu
również otwory wentylacyjne.
Higiena i bezpieczeństwo:
Pomieszczenie powinno być łatwe do utrzymania w czystości, z gładkimi
powierzchniami podłóg i ścian, które umożliwiają łatwe mycie. Ważne jest
także zaplanowanie odprowadzenia wody i zastosowanie materiałów
odpornych na działanie środków chemicznych.
Oznakowanie i segregacja:
Pomieszczenia do gromadzenia odpadów muszą być odpowiednio
oznakowane, aby ułatwić segregację. Kolorowe pojemniki, etykiety oraz
tablice informacyjne pomagają w prawidłowej segregacji odpadów i
zwiększają efektywność zarządzania odpadami"
28;"Proszę
omówić sposób wyznaczania wysokości górnej krawędzi elewacji frontowej
na działce objętej wnioskiem o ustalenie warunków
zabudowy";L;Z14;;"Rozporządzenie MI … w przypadku braku planu miejscowego
zagospodarowania §7
Wysokość górnej krawędzi elewacji frontowej, jej gzymsy, attyki wyznacza
się dla nowej zabudowy jako przedłużenie tych krawędzi odpowiednio do
istniejącej zabudowy na działkach sąsiednich.
- wysokość mierzy się od średniego poziomu przed głównym wejściem do
budynku
- jeżeli wysokość na działkach sąsiednich przebiega tworząc uskok to
przyjmuje się średnią wartość na analizowanym obszarze.
- dopuszcza się ustanowienie innej wysokości"
30;"Jakie
projekty budowlane wymagają uzgodnienie pod względem ochrony
przeciwpożarowej?";PŻ;Z15;;"Rozporządzenie MSWiA w sprawie uzgadniania projektu budowlanego §4
BRAK TEGO ROZPORZĄDZENIA W WYKAZIE
Uzgodnienia wymagają następujące projekty budowlane:
- budynku zawierającego strefę pożarową zakwalifikowaną do kategorii
zagrożenia ludzi ZL I, ZL II lub ZL V;
- budynku należącego do grupy wysokości: średniowysokie, wysokie lub
wysokościowe, zawierającego strefę pożarową zakwalifikowaną do kategorii
zagrożenia ludzi ZL III lub ZL IV;
- budynku niskiego zawierającego strefę pożarową o powierzchni
przekraczającej 1.000 m2, zakwalifikowaną do kategorii zagrożenia ludzi
ZL III, obejmującą kondygnację nadziemną inną niż pierwsza;
- obiektu budowlanego innego niż budynek, przeznaczonego do
użyteczności publicznej lub zamieszkania zbiorowego, w którym przewiduje
się możliwość jednoczesnego przebywania w strefie pożarowej ponad 50
osób na powierzchni do 2.000 m2;
- budynku zawierającego strefę pożarową produkcyjną lub magazynową,
wolno stojącego urządzenia technologicznego lub zbiornika poza budynkami
oraz placu składowego albo wiaty, jeżeli zachodzi co najmniej jeden z
następujących warunków:
strefa pożarowa produkcyjna lub magazynowa wymienionych obiektów
budowlanych ma powierzchnię przekraczającą 1.000 m2 oraz gęstość
obciążenia ogniowego przekraczającą 500 MJ/m2,
występuje zagrożenie wybuchem,
strefa pożarowa produkcyjna lub magazynowa wymienionych obiektów
budowlanych ma powierzchnię przekraczającą 5.000 m2 i gęstość obciążenia
ogniowego mniejszą niż 500 MJ/m2;
garażu wielopoziomowego oraz garażu zamkniętego o więcej niż 10
stanowiskach postojowych;
obiektu budowlanego objętego obowiązkiem wykonania systemu
sygnalizacji pożarowej, stałych urządzeń gaśniczych lub dźwiękowego
systemu ostrzegawczego;"
31;"Proszę
omówić i zilustrować szkicami sposoby rozwiązania stropów nad obiektami
wielkopowierzchniowymi (np. galerie)";P;Z15;;"<strong>WRÓCIĆ</strong></h2>
<blockquote>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_3.png"" style=""width:2.375in;height:2.52778in""/></p>
</blockquote>
<p>Stop oparty na kratownicy<br/>
Strop z strunobetonu</p>
<p>ŚWIETLIKI DOŚWIETLENIE</p>
<p>ChatGPT:</p>
<p>1. Konstrukcje stalowe</p>
<p>Dźwigary stalowe: Jednym z najczęstszych rozwiązań stosowanych w
obiektach wielkopowierzchniowych są konstrukcje stalowe. Stalowe
dźwigary kratownicowe lub pełnościenne pozwalają na osiągnięcie dużych
rozpiętości (nawet do 100 metrów), co minimalizuje liczbę podpór
wewnątrz obiektu. Stal zapewnia dużą wytrzymałość przy relatywnie
niskiej masie własnej.</p>
<p>Łukowe dźwigary stalowe: Alternatywą są dźwigary o łukowatym
kształcie, które mogą dodać walorów estetycznych, a jednocześnie
pozwalają na efektywne rozłożenie obciążeń na podpory zewnętrzne.</p>
<p>2. Konstrukcje z betonu sprężonego</p>
<p>Belki sprężone: W niektórych obiektach wielkopowierzchniowych stosuje
się belki z betonu sprężonego, które charakteryzują się wysoką nośnością
i odpornością na zginanie. Beton sprężony jest szczególnie korzystny w
przypadku dużych obciążeń lub konieczności zminimalizowania deformacji
konstrukcji.</p>
<p>Stropy płytowo-belkowe: W budynkach o mniejszych rozpiętościach, ale
nadal wymagających dużej wytrzymałości, często stosowane są stropy
płytowo-belkowe z betonu sprężonego, co pozwala na redukcję grubości
stropu przy jednoczesnym zachowaniu wysokiej nośności.</p>
<p>3. Konstrukcje hybrydowe</p>
<p>Połączenie stali i betonu: Często stosowane są konstrukcje hybrydowe,
które łączą zalety konstrukcji stalowych i betonowych. Na przykład
stalowe belki mogą być zintegrowane z płytą betonową, co pozwala na
wykorzystanie właściwości obu materiałów: wytrzymałości stali na
rozciąganie i wytrzymałości betonu na ściskanie.Dźwigary zespolone: W
tej technologii stalowe elementy dźwigarów są połączone z betonowymi
płytami dachowymi za pomocą specjalnych łączników, co poprawia nośność i
stabilność konstrukcji.</p>
<p>4. Konstrukcje drewniane</p>
<p>Drewniane dźwigary kratowe: W przypadku obiektów o mniejszych
wymaganiach co do obciążeń, stosowane są także konstrukcje drewniane,
zwłaszcza z wykorzystaniem drewna klejonego. Dźwigary kratowe z drewna
klejonego pozwalają na uzyskanie dużych rozpiętości przy zachowaniu
estetycznego wyglądu oraz ekologicznych walorów drewna.Łuki drewniane:
Drewno klejone warstwowo pozwala na formowanie łuków o dużych
rozpiętościach, co jest często stosowane w budynkach o nowoczesnej
architekturze.</p>
<p>5. Konstrukcje membranowe</p>
<p>Dachy membranowe: W nowoczesnych obiektach wielkopowierzchniowych
coraz częściej spotyka się konstrukcje dachów z membran elastycznych
(np. z materiałów PVC lub PTFE), rozpiętych na stalowych lub
aluminiowych konstrukcjach. Dachy membranowe są lekkie, elastyczne i
estetyczne, a także umożliwiają tworzenie skomplikowanych kształtów
architektonicznych.</p>
<p>6. Konstrukcje z wykorzystaniem lin i kabli</p>
<p>Konstrukcje kablobetonowe: Dachy o dużych rozpiętościach mogą być
podparte na konstrukcjach kablobetonowych, gdzie betonowe elementy są
dodatkowo wzmacniane stalowymi linami lub kablami. Tego typu konstrukcje
są szczególnie użyteczne w przypadku stadionów lub hal widowiskowych,
gdzie ważne jest uzyskanie dużych otwartych przestrzeni bez podpór.</p>
<p>Dachy wiszące: W skrajnych przypadkach, dachy mogą być zawieszane na
linach rozpiętych między wieżami lub pylonami. Tego typu konstrukcje są
niezwykle efektowne, ale wymagają precyzyjnego projektowania i
wykonania.</p></th>"
32;"Jakie
czynności należy wykonać i jakie dokumenty (decyzje, zgody, opinie,
uzgodnienia itp.) należy uzyskać i zgromadzić aby można było sporządzić
projekt budowlany a następnie uzyskać decyzję o pozwoleniu na budowę
posterunku policji, na obszarze nieobjętym miejscowym planem
zagospodarowania przestrzennego?";L;Z15;;"Rozporządzenie MR w sprawie szczegółowego zakresu i formy projektu
budowlanego §5
Należy przygotować:
- projekt zagospodarowania terenu lub działki
- projekt architektoniczno-budowlany
- projekt techniczny
- załączniki do projektu budowlanego
- opinie uzgodnienia i inne dokumenty o których mowa w art. 33 ust. 2
pkt 1 tj.
- oświadczenie właściwego zarządcy drogi o możliwości połączenia z
drogą
- informację bezpieczeństwa i ochrony zdrowia
Ustawia PB Art. 33
do wniosku PnB należy dołączyć:
- projekt zagospodarowania działki oraz PAB
- oświadczenie o posiadanym prawie do dysponowania nieruchomością na
cele budowlane
- decyzję o warunkach zabudowy i zagospodarowania terenu
- oświadczenie projektanta dotyczące możliwości przyłączenia budynku do
sieci ciepłownicze
Sprawdzić czy objęty teren jest MPZP, jeżeli nie trzeba wystąpić o
WZ/ULICP
Pozyskanie mapy zasadniczej.
Badania geotechniczne
wystąpienie do gestorów sieci o promesy
Warunki zabudowy/ ULICP
wystąpienie do gestorów sieci
opinia sanepidu
uzgodnienia branżowe
MDCP
Promesa od gestorów
Warunki przyłączeniowe do PnB"
33;"Proszę
omówić i zilustrować sposoby rozwiązywania podłóg w
garażach";P;Z15;;"WT §107
- Posadzki w garażach powinny mieć spadki do wewnętrznego lub
zewnętrznego wpustu kanalizacyjnego. W zabudowie jednorodzinnej
dopuszcza się wykonanie spadków bezpośrednio na nieutwardzony teren
działki.
- Krawędzie płaszczyzny posadzki należy ograniczyć progiem o wysokości
30mm uniemożliwiającym spływ wody lub innej cieczy na zewnątrz/niższy
poziom. Na drodze ruchu ten próg powinien być wyprofilowany dla osób
NPS
Warstwy na gruncie: Warstwy na stropie:
- posadzka -posadzka
- płyta betonowa -podkład betonowy
-warstwa poślizgowa -warstwa ochronna
-izolacja termiczna - izolacja termiczna/akustyczna
-podbudowa - paroizolacja
-izolacja przeciwwilgociowa -podkład profilujący
-podłoże gruntowe -strop"
35;"Jak
obliczamy powierzchnię wewnętrzną budynku? Wypowiedź proszę zilustrować
szkicami";L;Z18;;"</h2>
<p>WT<br/>
powierzchnia wewnętrzna – suma powierzchni wszystkich kondygnacji
budynku, mierzona po wewnętrznym obrysie przegród zewnętrznych, bez
pomniejszenia o przegrody wewnętrzne, ale z wyliczeniem pow
antresoli.</p>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_1.png"" style=""width:3.20005in;height:3.35773in""/></p></th>"
36;"Proszę
naszkicować przykładowe rozwiązanie mieszkania 3 pokojowego w budynku
mieszkalnym wielorodzinnym a następnie omówić zagadnienia
funkcjonalno-przestrzenne.";P;Z18;;
37;"Proszę
omówić zadania, kompetencje i obowiązki organów administracji
architektoniczno-budowlanej";L;Z18;;"Prawo budowlane Art. 80
- zadania AAB wykonują: starosta, wojewoda, Główny Inspektor Nadzoru
Budowlanego.
do podstawowych obowiązków należy:
- nadzór i kontrola nad przestrzeganiem przepisów prawa budowlanego a w
szczególności:
- zgodności zagospodarowania terenu z MPZP i wymaganiami ochrony
środowiska
- warunków bezpieczeństwa ludzi i mienia w rozwiązaniach przyjętych w
projektach budowlanych, przy wykonywaniu robót i utrzymaniu obiektów
budowlanych
- zgodności rozwiązań arch-bud z przepisami techniczno budowlanymi
- właściwego wykonywania samodzielnych funkcji technicznych
- wydawania decyzji administracyjnych w sprawach określonych
ustawą
- nadzór nad użytkowaniem elektrowni wiatrowych w zakresie oceny stanu
technicznego
Zestaw 22"
38;"Proszę
omówić warunki i podać przykłady oświetlenia wyłącznie światłem
sztucznym pomieszczeń przeznaczonych na pobyt ludzi.";P;Z22;;"WT Rozdział 2 Oświetlenie i nasłonecznienie
Dopuszcza się oświetlenie wyłącznie światłem sztucznym jeżeli:
oświetlenie dzienne nie jest konieczne lub nie jest wskazane ze względów
technologicznych
jest uzasadnione celowością funkcjonalną zlokalizowania tego
pomieszczenia w obiekcie podziemnym lub w części budynku pozbawionej
oświetlenia dziennego.
Takie pomieszczenia (z wył. Tych na cele obronności) należy uzgadniać z
właściwym państwowym wojewódzkim inspektorem sanitarnym w porozumieniu z
okręgowym.
Rozporządzenie MPiPS w sprawie przepisów bezpieczeństwa i higieny pracy.
§25
- W pomieszczeniach pracy stałej należy zapewnić oświetlenie dzienne,
chyba że jest to niemożliwe ze względu na technologię produkcji, a na
stosowanie oświetlenia wyłącznie elektrycznego pracodawca uzyskał zgodę
właściwego wojewódzkiego inspektora sanitarnego w porozumieniu z
okręgowym inspektorem sanitarnym.
- Stosunek wartości średnich natężenia w pomieszczeniach sąsiadujących z
sobą , przez które odbywa się komunikacja wewnętrzna nie powinien być
większy niż 5 do 1.
- Przy wyjściu z pomieszczeń w których musi być praca wykonywana w
ciemności (np. ciemnie optyczne) powinny być zapewnione warunki
umożliwiające stopniową adaptację wzroku."
39;"Proszę
omówić rodzaje i sposoby rozwiązania podłóg przemysłowych, odpowiedź
ilustrując szkicami";P;Z22;;Jak w zestawie 10.
40;"Jakie
roboty budowlane nie wymagają wydania decyzji o ustaleniu lokalizacji
celu publicznego?";L;Z22;;"Ustawa o planowaniu i zagospodarowaniu przestrzennym Rozdział 5 LICP
i ustalenie WZ w odniesieniu do innych inwestycji Art. 50 pkt. 2
- polegające na remoncie, montażu lub przebudowie, jeżeli nie powodują
zmiany sposobu zagospodarowania terenu i użytkowania obiektu oraz nie
zmieniają jego formy architektonicznej, a także nie są zaliczane do
przedsięwzięć wymagających przeprowadzenia oceny oddziaływania na
środowisko
- nie wymagają pozwolenia na budowę"
42;"Proszę
omówić zasady projektowania schodów zewnętrznych";P;Z23;;"WT jakim powinny odpowiadać drogi §45 pkt 5
Wysokość stopnia chodnika nie może być większa niż 17,5 a szerokość od
30 do 35 cm
WT Rozdział 4 §68
Szerokość użytkowa schodów zewnętrznych do budynku powinna wynosić co
najmniej 1,2m przy czym nie może być mniejsza niż przyjęta z wymaganiami
odnośnie szerokości (tabelka)
Liczba stopni w jednym biegu nie powinna wynosić więcej niż 10.
Szerokość stopni zewnętrznych w UP i MW co najmniej 0,35m"
43;"Proszę
omówić rodzaje i sposoby rozwiązania tzw. zielonych dachów, wypowiedź
ilustrując szkicami";P;Z23;;"</h2>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_9.png"" style=""width:2.33651in;height:3.03492in""/></p></th>"
44;"Realizacja
jakiś obiektów wymaga zgłoszenie do właściwego organu, w jakim terminie
i co należy określić w zgłoszeniu?";L;Z23;;"Ustawa Prawo Budowlane Art. 29, 30
- Zgłoszenia należy dokonać przed terminem zamierzonego rozpoczęcia
robót. Organ AAB w terminie 21 od dnia doręczenia zgłoszenia, może, w
drodze decyzji wnieść sprzeciw. Do wykonania robót można przystąpić
jeżelu organ nie wniósł sprzeciwu w tym terminie.
- W zgłoszeniu należy określić rodzaj, zakres, miejsce i sposób
wykonywanych robót budowlanych oraz termin ich rozpoczęcia.
Zgłoszenia wymagają m.in. :
- docieplenie budynków o wysokości nie przekraczającej 12m
- przebudowy budynków których budowa wymaga PnB z wyłączeniem przebudowy
przegród zewnętrznych oraz elementów konstrukcyjnych.
- instalowanie na obiektach urządzeń, w tym antenowych konstrukcji
wsporczych"
46;"Proszę
omówić warunki techniczne projektowania garaży
wielopoziomowych.";P;Z24;;"WT Garaże dla samochodów osobowych §102
- min wysokość 2,2 do spodu konstrukcji, do urządzeń instalacyjnych
2m.
- wrota garażowe min 2,3m i 2m wysokości
- pochylnie dla garażu 15% niezależnie czy zadaszone czy nie (dla
dwupoziomowego zadaszonego 20%) jeżeli przekracza 15% podjazd
karbowany.
- jeżeli jest dla więcej niż 25 samochodów na każdej kondygnacji
pochylnie dwupasmowe min 5,5 m lub jednopasmowe 2,7m.
- jeżeli mniej niż 25 samochodów na kondygnację dopuszcza się wyłącznie
jednopasmowe pod warunkiem sygnalizacji i kierunków ruchu.
- Droga manewrowa min 5m jeżeli stanowiska prostopadle, 4,5m jeżeli
60st, 3,5m jeżeli 45st. 3m jeżeli równolegle.
- odległość między dłuższym bokiem a ścianą min 0,3m, a między słupem a
ścianą 0,1 m pod warunkiem swobodnego otwarcia drzwi.
-garaż znajdujący się w budynku o innym przeznaczeniu powinien mieć
ściany i stropy zapewniające wymaganą izolację akustyczną oraz
szczelność uniemożliwiającą przenikanie spalin lub oparów paliwa do
sąsiednich pomieszczeń.
- garażu zamkniętym, powyżej 10 stanowisk, należy zapewnić wentylację
mechaniczną, sterowaną czujkami"
